qid227,qid228,qid230,qid231_text,qid232,qid234,qid297,qid297_7_text,qid299_text,qid250_1,qid250_2,qid250_3,qid250_4,qid250_5,qid250_6,qid250_7,qid250_8,qid300_1,qid300_4,qid300_5,qid300_6,qid300_7,qid300_8,qid300_9,qid300_10,qid300_10_text,qid251_1,qid251_2,qid251_3,qid251_4,qid251_5,qid251_6,qid251_7,qid251_8,qid251_9,qid251_9_text,qid235_13,qid235_1,qid235_2,qid235_3,qid235_4,qid235_8,qid235_9,qid235_10,qid235_11,qid235_11_text,qid236_text,qid237_1_1,qid237_1_2,qid237_1_3,qid237_2_1,qid237_2_2,qid237_2_3,qid237_3_1,qid237_3_2,qid237_3_3,qid237_4_1,qid237_4_2,qid237_4_3,qid237_5_1,qid237_5_2,qid237_5_3,qid237_6_1,qid237_6_2,qid237_6_3,qid237_7_1,qid237_7_2,qid237_7_3,qid237_8_1,qid237_8_2,qid237_8_3,qid237_9_1,qid237_9_2,qid237_9_3,qid237_10_1,qid237_10_2,qid237_10_3,qid237_11_1,qid237_11_2,qid237_11_3,qid237_12_1,qid237_12_2,qid237_12_3,qid237_13_1,qid237_13_2,qid237_13_3,qid238_1,qid238_7,qid238_8,qid238_9,qid238_10,qid238_2,qid238_13,qid238_13_text,qid240_1,qid240_2,qid240_3,qid240_4,qid240_5,qid240_7,qid240_8,qid240_9,qid240_10,qid240_26,qid240_11,qid240_12,qid240_28,qid240_13,qid240_14,qid240_15,qid240_16,qid240_17,qid240_20,qid240_21,qid240_22,qid240_23,qid240_24,qid240_25,qid240_29,qid240_18,qid240_18_text,qid241_text,qid243_text,qid244_text,qid245_text,qid247_text,qid248_text,qid249_1,qid249_2,qid249_3,qid252_1,qid252_2,qid252_3,qid252_4,qid252_5,qid252_6,qid252_7,qid252_8,qid252_9,qid252_10,qid252_11,qid252_12,qid305,qid273_1,qid273_2,qid273_3,qid273_4,qid273_5,qid273_6,qid274,qid306,qid302_1,qid302_2,qid302_3,qid302_4,qid275,qid276_text,qid307_text,qid278,qid279_text,qid280_text,qid281_text,qid282_text,qid267_text,qid268_text,qid270_text,qid309_text,qid283_text,qid284_text,qid245_text_32e7cc92_ay4puphdn8fxpartopics,qid245_text_32e7cc92_ay4puphdn8fxtopics,qid245_text_32e7cc92_ay4puphdn8fxtopichierarchy1,qid227_label,qid228_label,qid230_label,qid232_label,qid234_label,qid274_label,qid275_label,qid278_label,qid297_label,qid305_label,qid306_label
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-99,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-99,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-99,,,-99,-99,-99,-99,,,,,-99,-99,,,,,,,,,,,,,,
1.0,5.0,1.0,2095.0,4.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,1.0,1.0,1.0,,,,,-99,These events are transformational and I wish to share that gift with others. I enjoy being creative. The events are uplifting and amazing at a community level.,,1.0,,,1.0,,,,,,,1.0,1.0,,,,1.0,,,,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,More T-shirts,Unrestricted creativity without boundaries.,It is challenging to limit the camp size and choose who to accept into the camp without breaching a cap.,We collaborate with other camps every burn. Sharing power is very common. At Maverick burn several camps effectively pooled resources to deliver the burn.,Logistics to move heavy items. How to manage power supply. Labour to help installing.,One large burn annually.,1.0,4.0,5.0,4.0,3.0,5.0,5.0,,,,,,,,,,1.0,1.0,,1.0,,,2.0,,,,,,,Community ownership is working well.  Patience and consultation has been lacking.  By finding transparency around who is available to contribute and then connecting them a most successful burn can be had.,,2.0,Im working on it,"I hire gear yet prefer to gift exclusively to the burn, via theme camps only.","Theme Camp logistics can be offset/funded to assist, e.g. theme camp truck.","The admin and organisational resources of burn events should be pooled and considered. Maverick, Third Degree, Embers, Burning Seed, Canberra Solstice",360.0,280.0,220.0,,A unified larger burn that is in an ideal central location with good weather fault tolerances.,Leaders must communicate and consult well. They should not run off by themselves.,,Unknown,,"Yes, I consent",45 - 54,Australian Capital Territory,Attended 5+ events,No,It is a very important part of the experience.,,Very Important,,,
1.0,3.0,1.0,2300.0,3.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,,,1.0,1.0,,,,-99,I like lighting stuff on fire,,1.0,,,1.0,,,,1.0,,,1.0,,1.0,,,,1.0,,1.0,,1.0,,,1.0,,,,1.0,,1.0,,,1.0,,,,1.0,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,3rd degree seemed fine to me,Nope,,,-99,One large national scale burn of >2 thousand on an annual basis with 1-2 mini burns of a few hundred people at varying times of the year,3.0,5.0,6.0,4.0,4.0,4.0,2.0,,,,,,,,,,,1.0,,,,1.0,1.0,,,,,,3.0,I'm unsure what this question means,,5.0,-99,-99,-99,-99,800.0,600.0,250.0,,-99,-99,,,,"Yes, I consent",25 - 34,Australian Capital Territory,Attended 2-4 events,No,"It is an essential, non-negotiable part of the event for me.",Neutral,Not at all Important,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-99,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-99,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-99,,,-99,-99,-99,-99,,,,,-99,-99,,,,,,,,,,,,,,
1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-99,-99,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-99,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-99,,,-99,-99,-99,-99,,,,,-99,-99,,,,"Yes, I consent",,,,,,,,,,
1.0,5.0,1.0,2280.0,4.0,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,1.0,1.0,,,,,-99,Community ,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Training ,-99,,,No support ,Small events and one larger one every two years ,2.0,3.0,6.0,4.0,2.0,5.0,5.0,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,2.0,,,,,,1.0,Connecting ,,3.0,-99,-99,-99,-99,400.0,350.0,300.0,,-99,-99,,,,"Yes, I consent",45 - 54,Australian Capital Territory,Attended 5+ events,Yes,It is a very important part of the experience.,Very Connected,Somewhat Important,,,
1.0,5.0,1.0,2304.0,4.0,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,1.0,1.0,,1.0,,,-99,"Community, frivolity, immediacy, magic in the now ",1.0,1.0,,1.0,,,1.0,1.0,,1.0,,,1.0,,,1.0,1.0,,1.0,1.0,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,1.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,"Make above question multi select ;)  Improve on recognition, training opportunities ",I’m not sure this is a value add q given how many levels of burn out and how many don’t even realise they’re in the throes…,Balance of year long engagement / fundraising and once on site - packdown is usually hardest.,"Yes- multiple theme camps to do fundraisers for Seed. Collabs w Trash Mansion (fundraising warehouse parties), Mint Country Club (fundraiser/warehouse party), Pandemonium/ MindSub (party @Seed), Emporium (food events, warehouse parties)","Placement, safety ",-99,2.0,3.0,4.0,5.0,2.0,4.0,5.0,,,,,,,,,,,,,,1.0,,2.0,,,,,,1.0,United community- theme camps coming back to do awesome stuff together  Support of and better engagement of burner arts board ,,2.0,Parkes,-99,-99,-99,550.0,,,,"Unified community that grows, trusts, and supports each other ",-99,,Unknown,,"Yes, I consent",45 - 54,Australian Capital Territory,Attended 5+ events,Yes,It is a very important part of the experience.,Very Connected,Very Important,,,
1.0,5.0,1.0,2095.0,4.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,-99,-99,,1.0,,,,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-99,,,-99,-99,2.0,3.0,3.0,4.0,3.0,5.0,4.0,,,,,,,,,,1.0,1.0,,1.0,,,1.0,,,,,,1.0,-99,,1.0,-99,-99,-99,-99,800.0,,,,-99,-99,,,,"Yes, I consent",45 - 54,Australian Capital Territory,Attended 5+ events,No,"It is an essential, non-negotiable part of the event for me.",Very Connected,Absolutely Essential,,,
1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-99,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-99,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-99,,,-99,-99,-99,-99,,,,,-99,-99,,,,"Yes, I consent",,,,,,,,,,
1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-99,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-99,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-99,,,-99,-99,-99,-99,,,,,-99,-99,,,,"Yes, I consent",,,,,,,,,,
